C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Mo,Ni,Al,Co,Cu,Ti,V,Pb,Sn,Mg,,,,CE,Sug.C in Kg,Sug.Si in Kg,Sug.Mn in Kg,Sug.S in Kg,Sug.P in Kg,Sug.Cr in Kg,Sug.Cu in Kg,Sug.Ni in Kg,Sug.Sn in Kg,Sug.Mg in Kg,Sug. in Kg,
,27-02-2023 21:52:28,13697,Item Not Found,Select Batch,Final,500,1B,Select Steel Values,   cast iron -  F     ,3.7100,1.7300,0.4000,0.0598,0.0145,0.0366,0.0020,0.0041,0.0014,0.0020,0.0086,0.0277,0.0013,0.0085,0.0090,0.0034,,,,4.3465,,,,,,,,,,,,
,27-02-2023 22:07:15,13697,Item Not Found,Select Batch,Final,500,1B,Select Steel Values,   cast iron -  F     ,3.7100,1.7300,0.4000,0.0598,0.0145,0.0366,0.0020,0.0041,0.0014,0.0020,0.0086,0.0277,0.0013,0.0085,0.0090,0.0034,,,,4.3465,,,,,,,,,,,,
,27-02-2023 22:08:59,13697,Test-F,Select Batch,Final,500,1B,Select Steel Values,   cast iron -  F     ,3.7100,<1.7300,<0.4000,<0.0598,<0.0145,<0.0366,<0.0020,<0.0041,>0.0014,>0.0020,0.0086,>0.0277,>0.0013,0.0085,>0.0090,<0.0034,,,,4.3465,,,,,,,,,,,,
,27-02-2023 22:15:22,13697,Test-F,Select Batch,Final,500,1B,Select Steel Values,   cast iron -  F     ,3.7100,<1.7300,<0.4000,<0.0598,<0.0145,<0.0366,<0.0020,<0.0041,>0.0014,>0.0020,0.0086,>0.0277,>0.0013,0.0085,>0.0090,<0.0034,,,,4.3465,,,,,,,,,,,,
,27-02-2023 22:18:42,13697,Test-F,Select Batch,Final,500,1B,Select Steel Values,   cast iron -  F     ,3.7100,<1.7300,<0.4000,<0.0598,<0.0145,<0.0366,<0.0020,<0.0041,>0.0014,>0.0020,0.0086,>0.0277,>0.0013,0.0085,>0.0090,<0.0034,,,,4.3465,,,,,,,,,,,,
,27-02-2023 22:31:24,13697,Test-F,Select Batch,Final,500,1B,Select Steel Values,   cast iron -  F     ,3.7100,<1.7300,<0.4000,<0.0598,<0.0145,<0.0366,<0.0020,<0.0041,>0.0014,>0.0020,0.0086,>0.0277,>0.0013,0.0085,>0.0090,<0.0034,,,,4.3465,,,,,,,,,,,,
,27-02-2023 22:36:01,13697,Test-F,Select Batch,Final,500,1B,Select Steel Values,   cast iron -  F     ,3.7100,<1.7300,<0.4000,<0.0598,<0.0145,<0.0366,<0.0020,<0.0041,>0.0014,>0.0020,0.0086,>0.0277,>0.0013,0.0085,>0.0090,<0.0034,,,,4.3465,,,,,,,,,,,,
,27-02-2023 22:37:04,13697,Test-F,CI-CPC,Final,500,1B,3TB110,   cast iron -  F     ,3.7100,<1.7300,<0.4000,<0.0598,<0.0145,<0.0366,<0.0020,<0.0041,>0.0014,>0.0020,0.0086,>0.0277,>0.0013,0.0085,>0.0090,<0.0034,,,,4.3465,0.00,10.92,4.79,1.80,0.59,1.78,0.00,0.00,0.00,Infinity,,
,27-02-2023 23:43:51,13697,Test-F,Select Batch,Final,500,1B,Select Steel Values,   cast iron -  F     ,3.7100,<1.7300,<0.4000,<0.0598,<0.0145,<0.0366,<0.0020,<0.0041,>0.0014,>0.0020,0.0086,>0.0277,>0.0013,0.0085,>0.0090,<0.0034,,,,4.3465,,,,,,,,,,,,
,27-02-2023 23:43:56,13697,Test-F,CI-CPC,Final,500,1B,3TB110,   cast iron -  F     ,3.7100,<1.7300,<0.4000,<0.0598,<0.0145,<0.0366,<0.0020,<0.0041,>0.0014,>0.0020,0.0086,>0.0277,>0.0013,0.0085,>0.0090,<0.0034,,,,4.3465,0.00,10.92,4.79,0.59,1.80,1.78,Infinity,0.00,0.00,Infinity,0.00,
,27-02-2023 23:45:04,13697,Test-F,Select Batch,Final,500,1B,Select Steel Values,   cast iron -  F     ,3.7100,<1.7300,<0.4000,<0.0598,<0.0145,<0.0366,<0.0020,<0.0041,>0.0014,>0.0020,0.0086,>0.0277,>0.0013,0.0085,>0.0090,<0.0034,,,,4.3465,,,,,,,,,,,,
,27-02-2023 23:45:12,13697,Test-F,CI-CPC,Final,500,1B,3TB110,   cast iron -  F     ,3.7100,<1.7300,<0.4000,<0.0598,<0.0145,<0.0366,<0.0020,<0.0041,>0.0014,>0.0020,0.0086,>0.0277,>0.0013,0.0085,>0.0090,<0.0034,,,,4.3465,0.00,10.92,4.79,0.59,1.80,1.78,Infinity,0.00,0.00,0.00,0.00,
